period_start,period_end,semana,bin
31/12/2023 00:00:00,06/01/2024 23:59:59,semana 1,31/12/2023 00:00:00
07/01/2024 00:00:00,13/01/2024 23:59:59,semana 2,06/01/2024 23:59:59
14/01/2024 00:00:00,20/01/2024 23:59:59,semana 3,13/01/2024 23:59:59
21/01/2024 00:00:00,27/01/2024 23:59:59,semana 4,20/01/2024 23:59:59
28/01/2024 00:00:00,03/02/2024 23:59:59,semana 5,27/01/2024 23:59:59
04/02/2024 00:00:00,10/02/2024 23:59:59,semana 6,03/02/2024 23:59:59
11/02/2024 00:00:00,17/02/2024 23:59:59,semana 7,10/02/2024 23:59:59
18/02/2024 00:00:00,24/02/2024 23:59:59,semana 8,17/02/2024 23:59:59
25/02/2024 00:00:00,02/03/2024 23:59:59,semana 9,24/02/2024 23:59:59
03/03/2024 00:00:00,09/03/2024 23:59:59,semana 10,02/03/2024 23:59:59
10/03/2024 00:00:00,16/03/2024 23:59:59,semana 11,09/03/2024 23:59:59
17/03/2024 00:00:00,23/03/2024 23:59:59,semana 12,16/03/2024 23:59:59
24/03/2024 00:00:00,30/03/2024 23:59:59,semana 13,23/03/2024 23:59:59
31/03/2024 00:00:00,06/04/2024 23:59:59,semana 14,30/03/2024 23:59:59
07/04/2024 00:00:00,13/04/2024 23:59:59,semana 15,06/04/2024 23:59:59
14/04/2024 00:00:00,20/04/2024 23:59:59,semana 16,13/04/2024 23:59:59
21/04/2024 00:00:00,27/04/2024 23:59:59,semana 17,20/04/2024 23:59:59
28/04/2024 00:00:00,04/05/2024 23:59:59,semana 18,27/04/2024 23:59:59
05/05/2024 00:00:00,11/05/2024 23:59:59,semana 19,04/05/2024 23:59:59
12/05/2024 00:00:00,18/05/2024 23:59:59,semana 20,11/05/2024 23:59:59
19/05/2024 00:00:00,25/05/2024 23:59:59,semana 21,18/05/2024 23:59:59
26/05/2024 00:00:00,01/06/2024 23:59:59,semana 22,25/05/2024 23:59:59
02/06/2024 00:00:00,08/06/2024 23:59:59,semana 23,01/06/2024 23:59:59
09/06/2024 00:00:00,15/06/2024 23:59:59,semana 24,08/06/2024 23:59:59
,,,15/06/2024 23:59:59